requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,NFR,FR,0.85,"This requirement primarily describes a quality attribute (usability) and performance constraint rather than a specific system function. It focuses on how easy and quick the system should be for users, which aligns with Non-Functional Requirements characteristics of usability and performance efficiency.",easy; novice skills; under 3 minutes; usability; performance constraint,3.116183
The website shall not be offensive to religious or ethnic groups.,NFR,NFR,0.85,"This requirement specifies a quality attribute related to content sensitivity and inclusivity, which falls under the usability and ethical characteristics of non-functional requirements. It describes how the system should behave (non-offensive) rather than a specific function the system must perform.",offensive; religious; ethnic; content constraint; usability; sensitivity,2.846285
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,NFR,NFR,0.9,"This requirement describes a system's scalability and performance capacity, which is a non-functional requirement focusing on how well the system can handle user load. It specifies a quality attribute related to performance efficiency and system capacity rather than a specific system function.",handling; users; grow; capacity; performance; scalability,2.818267
ach team owner will need to use a username and password in order to be authenticated to reach the team owner's page,NFR,NFR,0.9,"This requirement describes a security constraint related to authentication and access control, which falls under the ISO/IEC 25010 Security characteristic. It specifies HOW access is controlled rather than a specific system function.",authenticated; username; password; access control; security,2.463857
The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,NFR,NFR,0.85,"This requirement specifies a constraint on system interface design and consistency, focusing on HOW the system should represent information rather than a specific function. It relates to the ISO/IEC 25010 characteristics of compatibility and maintainability by ensuring consistent terminology across systems.",nomenclature; system interface; consistent; existing system; reports,2.887135
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,NFR,NFR,0.85,"This requirement describes a usability quality attribute focusing on how easily users can find help, rather than a specific system function. It relates to the ISO/IEC 25010 Usability characteristic, with emphasis on user interface accessibility and ease of use.",easily locate; user help; within 90%; usability; accessibility,2.720384
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,NFR,NFR,0.9,"This requirement specifies a technical constraint on the system's infrastructure and architecture, focusing on HOW the system will be implemented rather than a specific functional behavior. It describes a non-functional quality attribute related to system design and technology stack.",web/application server; technology; infrastructure; design constraint,2.919022
User shall be able to create a new document using a predefined or custom template,FR,FR,0.95,"This requirement describes a specific system function that defines what the system must do. It specifies a user action of creating a document with template options, which directly defines a system capability.",create; document; user shall; predefined; custom template,2.393806
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,NFR,NFR,0.9,"This requirement describes a quality attribute related to productivity improvement, which falls under the Non-Functional Requirement category. It specifies a performance and usability constraint with a specific measurement (80% agreement) and time frame, characteristic of a non-functional requirement.",increase productivity; 80% of Collision Estimators; within 1 month; productivity improvement,3.224916
The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,FR,NFR,0.9,"This requirement describes a specific system capability (connecting to databases), which defines WHAT the system must do. It specifies a system function involving database connectivity, which is a core functional behavior.",shall have the ability; connect; databases; system function,2.543224
If a flight plan is active and the hover in place command is rescinded  the FlightManager shall notify the UAV to continue to the originally designated waypoint.,FR,FR,0.95,"This requirement describes a specific system behavior and function of the FlightManager, detailing what the system must do in a particular scenario. It specifies a precise action (notifying the UAV to continue to the original waypoint) when certain conditions are met.",notify; continue; flight plan; shall; system behavior,2.853678
The website will allow customers to search for movies by title actor or director.,FR,FR,0.95,"This requirement describes a specific system function that defines what the system must do. It specifies a clear user interaction and system capability for searching movies, which directly defines a system behavior.",allow; search; customers; by title; actor; director,2.324749
The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,FR,FR,0.95,"This requirement describes a specific system function that defines WHAT the system must do. It specifies a concrete behavior of displaying messages, including details about the number of messages and their content length.",contain; most recently posted; messages; shall; will contain,2.749524
The UIMiddleware accepts commands from UIs and forwards to Dronology,FR,FR,0.9,"This requirement describes a specific system behavior and interaction, defining what the system must do. It details a functional process of receiving commands and forwarding them, which is a core system function.",accepts; commands; forwards; system interaction,2.284887
The WASP platform must be able to draw a map of a given area.,FR,FR,0.95,"This requirement describes a specific system function (drawing a map) that defines what the system must do. It specifies a clear action (draw) and the expected output (map), which are characteristics of a functional requirement.",draw; map; must be able to; system function,2.39696
The application shall have a downtime of at most 10 minutes per year.,NFR,NFR,0.95,"This requirement specifies a system-wide performance constraint related to system availability, which is a key characteristic of the Reliability quality attribute in ISO/IEC 25010. It defines 'how well' the system must perform in terms of uptime, rather than describing a specific system function.",downtime; at most; per year; availability; reliability constraint,2.907302
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,NFR,FR,0.9,"This requirement specifies a performance constraint on a system process, focusing on the time taken to complete a data recreation task. It describes HOW WELL the system must perform rather than WHAT specific function it must execute, making it a Non-Functional Requirement related to Performance Efficiency.",take no more than; time constraint; performance; 30min; recreation,3.227149
All actions that modify an existing dispute case must be recorded in the case history.,FR,FR,0.9,"This requirement describes a specific system behavior of recording actions related to dispute case modifications. It defines a clear system function of tracking and logging case changes, which is a functional requirement that specifies what the system must do.",actions; modify; recorded; case history,2.445609
