requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,NFR,FR,0.9,This requirement specifies usability constraints and performance criteria rather than specific system functions. It defines HOW WELL the system should perform for novice users (ease of use) and includes a time constraint (under 3 minutes). These align with ISO/IEC 25010 Usability and Performance Efficiency characteristics.,easy for customers; novice skills; under 3 minutes; usability constraint; time constraint,3.900041
The website shall not be offensive to religious or ethnic groups.,NFR,NFR,0.9,"This specifies a quality constraint on content appropriateness rather than describing what the system must do. It relates to usability and social acceptability characteristics, defining HOW the system should behave (non-offensively) rather than WHAT functions it should perform.",shall not be; offensive; content constraint; quality attribute,5.687651
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,NFR,NFR,0.9,"This requirement specifies a scalability and capacity constraint rather than a specific system function. It defines HOW WELL the system must perform in terms of user load capacity, which relates to ISO/IEC 25010 Performance Efficiency characteristic. The requirement focuses on system capacity limits and growth expectations rather than describing what the system does.",1000 users; handling; capacity; grow 5 times; scalability constraint,4.664304
ach team owner will need to use a username and password in order to be authenticated to reach the team owner's page,NFR,NFR,0.85,This requirement specifies a security constraint related to authentication and access control rather than describing what the system does. It defines HOW access should be controlled (username/password authentication) which aligns with ISO/IEC 25010 Security characteristic. The focus is on the authentication mechanism and access restriction rather than system functionality.,username and password; authenticated; access control; security constraint; authorization mechanism,4.330385
The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,NFR,NFR,0.8,"This requirement specifies a design constraint and compatibility standard rather than a specific system function. It defines HOW the system should present information (using specific nomenclature) and ensures compatibility with existing systems, which relates to ISO/IEC 25010 Compatibility characteristic.",interface; nomenclature; same nomenclature; existing system; compatibility constraint,4.095638
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,NFR,NFR,0.9,"This requirement specifies usability quality attributes rather than system functionality. It defines HOW WELL the help system should perform (easily accessible, 90% coverage) rather than WHAT the system should do. Maps to ISO/IEC 25010 Usability characteristic focusing on user experience and accessibility of help content.",easily locate; 90% of the system; usability constraint; quality attribute; user experience,5.128772
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,NFR,NFR,0.85,"This requirement specifies a technological constraint and architectural decision about HOW the system should be implemented, rather than WHAT functionality it should provide. It mandates the use of specific technology types (web/application servers) which relates to the Portability and Compatibility quality characteristics from ISO/IEC 25010, specifically concerning the system's technical architecture and deployment environment.",must make use of; technology; web/application server; architectural constraint; implementation constraint,15.363168
User shall be able to create a new document using a predefined or custom template,FR,FR,0.95,Describes a specific system function that enables users to create documents. Contains action verb 'create' and specifies system behavior for document creation with template options. This defines WHAT the system must do rather than HOW WELL it performs.,create; user shall be able to; system function; document creation; template options,3.934895
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,NFR,NFR,0.9,"This requirement specifies a quality attribute (productivity improvement) with measurable criteria (80% agreement within 1 month) rather than describing specific system functionality. It relates to usability and effectiveness characteristics from ISO/IEC 25010, focusing on HOW WELL the system performs rather than WHAT it does.",increase productivity; 80%; within 1 month; quality attribute; measurable criteria; user satisfaction,3.778252
The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,FR,NFR,0.85,Describes a specific system capability - the ability to connect to external databases. This defines WHAT the system must do (establish database connections) rather than HOW WELL it must perform. The requirement specifies a functional behavior involving system integration and data connectivity.,shall have the ability; connect; databases; system capability; integration function,4.446795
