requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,UNKNOWN,FR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.563092
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,UNKNOWN,FR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.308978
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,UNKNOWN,NFR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.270717
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,UNKNOWN,NFR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.295047
All actions that modify an existing dispute case must be recorded in the case history.,UNKNOWN,FR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.229184
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,UNKNOWN,FR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.233674
The website shall not be offensive to religious or ethnic groups.,UNKNOWN,NFR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.188837
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,UNKNOWN,FR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.189549
The product shall record meeting entries.,UNKNOWN,FR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.164398
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,UNKNOWN,NFR,0.0,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-8c787***********************a6a9. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",,0.290418
